,0,1,2,3,4,5,6,7,8,board_str,value
310,,,,X,,O,,X,,",,,X,,O,,X,",0.5
311,,O,X,,,,,,X,",O,X,,,,,,X",0.5
312,X,,,,,,X,O,,"X,,,,,,X,O,",0.5
313,,,,O,,,X,,X,",,,O,,,X,,X",0.5
314,X,,O,,,X,,,,"X,,O,,,X,,,",0.5
315,,,X,,,O,,,X,",,X,,,O,,,X",0.5
316,,,,X,,,,X,O,",,,X,,,,X,O",0.5
317,,,O,X,,,,,X,",,O,X,,,,,X",0.5
318,X,,,,,X,,,O,"X,,,,,X,,,O",0.5
319,,,X,,X,,O,,,",,X,,X,,O,,",0.5
320,X,O,,,,,,X,,"X,O,,,,,,X,",0.5
321,X,O,,,,,,,X,"X,O,,,,,,,X",0.5
322,,,X,O,,X,,,,",,X,O,,X,,,",0.5
323,O,X,,X,,,,,,"O,X,,X,,,,,",0.5
324,X,,O,,,,X,,,"X,,O,,,,X,,",0.5
325,,,X,,,O,X,,,",,X,,,O,X,,",0.5
326,,O,X,,,,X,,,",O,X,,,,X,,",0.5
327,,X,,X,,O,,,,",X,,X,,O,,,",0.5
328,,,X,,O,,X,,,",,X,,O,,X,,",0.5
329,,,,,O,X,X,,,",,,,O,X,X,,",0.5
330,X,O,X,,,,,,,"X,O,X,,,,,,",0.5
331,,X,X,,O,,,,,",X,X,,O,,,,",0.5
332,O,,,,,X,,,X,"O,,,,,X,,,X",0.5
333,,,,,O,,X,X,,",,,,O,,X,X,",0.5
334,,,X,,X,O,,O,,",,X,,X,O,,O,",0.5
335,,O,,X,,,,X,O,",O,,X,,,,X,O",0.5
336,,,O,X,X,,,O,,",,O,X,X,,,O,",0.5
337,,O,X,,O,X,,,,",O,X,,O,X,,,",0.5
338,,,O,O,,X,,X,,",,O,O,,X,,X,",0.5
339,,X,X,,O,,O,,,",X,X,,O,,O,,",0.5
340,,,,O,,O,,X,X,",,,O,,O,,X,X",0.5
341,X,,,O,X,,,O,,"X,,,O,X,,,O,",0.5
342,,,O,X,X,,,,O,",,O,X,X,,,,O",0.5
343,,O,X,,X,,,,O,",O,X,,X,,,,O",0.5
344,,X,X,O,,,O,,,",X,X,O,,,O,,",0.5
345,O,,X,O,X,,,,,"O,,X,O,X,,,,",0.5
346,,X,,,X,O,,,O,",X,,,X,O,,,O",0.5
347,O,,,,X,X,,,O,"O,,,,X,X,,,O",0.5
348,,X,O,,X,,,,O,",X,O,,X,,,,O",0.5
349,O,,,,X,O,,,X,"O,,,,X,O,,,X",0.5
350,,O,,,,,O,X,X,",O,,,,,O,X,X",0.5
351,,,,,X,X,O,,O,",,,,X,X,O,,O",0.5
352,X,,,,,X,O,O,,"X,,,,,X,O,O,",0.5
353,,,,O,,,X,O,X,",,,O,,,X,O,X",0.5
354,O,,X,,,X,,O,,"O,,X,,,X,,O,",0.5
355,O,,X,X,,,O,,,"O,,X,X,,,O,,",0.5
356,O,X,O,,,X,,,,"O,X,O,,,X,,,",0.5
357,,X,,O,,,,O,X,",X,,O,,,,O,X",0.5
358,,,,O,,,X,X,O,",,,O,,,X,X,O",0.5
359,,O,,O,X,,X,,,",O,,O,X,,X,,",0.5
360,O,O,,,,X,,,X,"O,O,,,,X,,,X",0.5
361,,,,X,O,,O,,X,",,,X,O,,O,,X",0.5
362,,O,,X,,,O,X,,",O,,X,,,O,X,",0.5
363,,,X,,O,X,,O,,",,X,,O,X,,O,",0.5
364,,,O,,,X,O,,X,",,O,,,X,O,,X",0.5
365,,O,O,,,,X,X,,",O,O,,,,X,X,",0.5
366,,,X,,,O,X,,O,",,X,,,O,X,,O",0.5
367,X,,X,O,,,,O,,"X,,X,O,,,,O,",0.5
368,,X,,,X,,,O,O,",X,,,X,,,O,O",0.5
369,X,,O,X,,,,,O,"X,,O,X,,,,,O",0.5
370,,,,X,O,O,X,,,",,,X,O,O,X,,",0.5
371,O,,,X,,,O,,X,"O,,,X,,,O,,X",0.5
372,,,O,,X,,O,X,,",,O,,X,,O,X,",0.5
373,X,,X,,O,,,,O,"X,,X,,O,,,,O",0.5
374,X,,,,O,X,,,O,"X,,,,O,X,,,O",0.5
375,,O,X,O,,,,,X,",O,X,O,,,,,X",0.5
376,,,,,O,X,X,,O,",,,,O,X,X,,O",0.5
377,,,X,,O,,X,,O,",,X,,O,,X,,O",0.5
378,O,X,O,,,,,X,,"O,X,O,,,,,X,",0.5
379,,O,,,O,X,,X,,",O,,,O,X,,X,",0.5
380,O,,,,,O,X,,X,"O,,,,,O,X,,X",0.5
381,,,,,O,X,,O,X,",,,,O,X,,O,X",0.5
382,,,X,,O,,,O,X,",,X,,O,,,O,X",0.5
383,X,,,,X,,,O,O,"X,,,,X,,,O,O",0.5
384,O,,,O,,X,,,X,"O,,,O,,X,,,X",0.5
385,,X,,,O,,X,,O,",X,,,O,,X,,O",0.5
386,X,X,O,,O,,,,,"X,X,O,,O,,,,",0.5
387,O,,,O,X,,X,,,"O,,,O,X,,X,,",0.5
388,X,,,,O,,O,,X,"X,,,,O,,O,,X",0.5
389,O,,,O,,,,X,X,"O,,,O,,,,X,X",0.5
390,X,,,X,O,,,O,,"X,,,X,O,,,O,",0.5
391,O,,,X,O,X,,,,"O,,,X,O,X,,,",0.5
392,X,,,,O,O,X,,,"X,,,,O,O,X,,",0.5
393,,O,X,X,O,,,,,",O,X,X,O,,,,",0.5
394,,X,O,X,,,,O,,",X,O,X,,,,O,",0.5
395,X,,,O,O,X,,,,"X,,,O,O,X,,,",0.5
396,,O,,O,,X,,,X,",O,,O,,X,,,X",0.5
397,,X,O,,,,X,,O,",X,O,,,,X,,O",0.5
398,O,O,,,X,,X,,,"O,O,,,X,,X,,",0.5
399,,O,,,X,,O,,X,",O,,,X,,O,,X",0.5
400,,,X,O,,X,O,,,",,X,O,,X,O,,",0.5
401,O,O,,,,,,X,X,"O,O,,,,,,X,X",0.5
402,,O,X,X,,,O,,,",O,X,X,,,O,,",0.5
403,,,,O,X,,,O,X,",,,O,X,,,O,X",0.5
404,O,,,X,,X,,O,,"O,,,X,,X,,O,",0.5
405,,O,X,,X,,O,,,",O,X,,X,,O,,",0.5
406,,,O,X,X,O,,,,",,O,X,X,O,,,",0.5
407,,O,O,X,X,,,,,",O,O,X,X,,,,",0.5
408,,,,O,X,,,X,O,",,,O,X,,,X,O",0.5
